date,country,total_vaccinations,people_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,people_fully_vaccinated,people_fully_vaccinated_per_hundred
2021-01-17,USA,0.0,0.0,0.0,0.0,0.0,824632.0,2466.0,0.0,0.0
2021-01-18,Israel,2727185.0,2274515.0,31.51,26.28,189604.0,108114.0,12491.0,452670.0,5.23
2021-01-18,USA,0.0,0.0,0.0,0.0,0.0,837595.0,2504.0,0.0,0.0
2021-01-19,Israel,2937260.0,2347159.0,33.94,27.12,210075.0,129633.0,14977.0,590101.0,6.82
2021-01-19,USA,15707588.0,13595803.0,4.7,4.07,0.0,911493.0,2725.0,2023124.0,0.6000000000000001
2021-01-20,Israel,3157050.0,2423648.0,36.47,28.0,219790.0,145518.0,16812.0,733402.0,8.47
2021-01-20,USA,16525281.0,14270441.0,4.94,4.27,817693.0,892403.0,2668.0,2161419.0,0.65
2021-01-21,USA,17546374.0,15053257.0,5.25,4.5,1021093.0,913912.0,2733.0,2394961.0,0.72
2021-01-21,Israel,3390471.0,2493265.0,39.17,28.81,233421.0,161022.0,18603.0,897206.0,10.37
2021-01-22,Israel,3499029.0,2530960.0,40.43,29.24,108558.0,167042.0,19299.0,968069.0,11.18
2021-01-22,USA,19107959.0,16243093.0,5.71,4.86,1561585.0,975540.0,2917.0,2756953.0,0.8200000000000001
2021-01-23,Israel,3592296.0,2570782.0,41.5,29.7,93267.0,172470.0,19926.0,1021514.0,11.8
2021-01-23,USA,20537990.0,17390345.0,6.14,5.2,1430031.0,1057387.0,3162.0,3027865.0,0.91
2021-01-24,Israel,3801452.0,2639684.0,43.92,30.5,209156.0,180553.0,20860.0,1161768.0,13.42
2021-01-24,USA,21848655.0,18502131.0,6.53,5.53,1310665.0,1122182.0,3355.0,3216836.0,0.96
2021-01-25,Israel,4021222.0,2720381.0,46.46,31.43,219770.0,184862.0,21358.0,1300841.0,15.03
2021-01-25,USA,22734243.0,19252279.0,6.8,5.76,885588.0,1126251.0,3368.0,3346390.0,1.0
2021-01-26,Israel,4225642.0,2798842.0,48.82,32.34,204420.0,184055.0,21264.0,1426800.0,16.48
2021-01-26,USA,23540994.0,19902237.0,7.04,5.95,806751.0,1119058.0,3346.0,3481921.0,1.04
2021-01-27,USA,24652634.0,20687970.0,7.37,6.19,1111640.0,1161050.0,3472.0,3801053.0,1.1400000000000001
2021-01-27,Israel,4427882.0,2876485.0,51.16,33.23,202240.0,181547.0,20975.0,1551397.0,17.92
2021-01-28,Israel,4637416.0,2955842.0,53.58,34.15,209534.0,178135.0,20580.0,1681574.0,19.43
2021-01-28,USA,26193682.0,21698606.0,7.83,6.49,1541048.0,1235330.0,3694.0,4263056.0,1.27
2021-01-29,USA,27884661.0,22858318.0,8.34,6.83,1690979.0,1253815.0,3749.0,4780888.0,1.43
2021-01-29,Israel,4738484.0,2992343.0,54.75,34.57,101068.0,177065.0,20457.0,1746141.0,20.17
2021-01-30,USA,29577902.0,24064165.0,8.84,7.2,1693241.0,1291416.0,3861.0,5259693.0,1.57
2021-01-30,Israel,4815383.0,3026598.0,55.63,34.97,76899.0,174727.0,20187.0,1788785.0,20.67
2021-01-31,USA,31123299.0,25201143.0,9.31,7.54,1545397.0,1324949.0,3962.0,5657142.0,1.69
2021-01-31,Israel,4947785.0,3099709.0,57.16,35.81,132402.0,163762.0,18920.0,1848076.0,21.35
2021-02-01,USA,32222402.0,26023153.0,9.63,7.78,1099103.0,1355451.0,4053.0,5927847.0,1.77
2021-02-01,Israel,5065154.0,3181880.0,58.52,36.76,117369.0,149133.0,17230.0,1883274.0,21.76
2021-02-02,Israel,5165844.0,3251679.0,59.68,37.57,100690.0,134315.0,15518.0,1914165.0,22.11
2021-02-02,USA,32780860.0,26440836.0,9.8,7.91,558458.0,1319981.0,3947.0,6064792.0,1.81
